cluster_id,customer_message_id,conversation_id,probability,outlier_score,text
9,429009,428987,1.0,0.0,@AmazonHelp @115851 is big joker and @115850 big looser not even keep their words
9,1209111,1208753,1.0,0.0,@AmazonHelp JOker looks at attachment.. @115851 big joker @115850 #resolutionteam &amp; #Cteam master joker @115821.com https://t.co/wq4wqNtwjY
9,2511768,19137,1.0,0.0,@AmazonHelp I've already given details multiple time But you #joker never responded only sorry and apologies big joker @115821 https://t.co/23SWMRp3Bo
9,2142166,920929,1.0,0.0,@AmazonHelp There should be a limit of elaborating can't help if U joker's don't want to understand @115851 @115850 @115821
9,1089227,1003631,1.0,0.0,@AmazonHelp You joker's only say sorry only and your bigger joker @115851 always silent #jokers
9,796394,231795,1.0,0.0,@AmazonHelp @309902 Joker's🤔🤔always say sorry but did not learn from mistake my 3 order you and your master ruin
9,2221877,1387105,1.0,0.0,@AmazonHelp you jokers i've already given details but you never understand and it's your tendency bagger @115821
9,1015275,678646,1.0,0.0,@AmazonHelp You leave it joker's let @115851 reply jokers don't have courage to help me thanks
