cluster_id,customer_message_id,conversation_id,probability,outlier_score,text
62,1772321,1772324,1.0,0.0,"@AmazonHelp I mean, it's pretty simple. You give me a guaranteed delivery date, and AMZL gets it here by that date maybe 50% of the time, at best. So what am I paying for? It's just not worth it anymore. Not worth my frustration."
62,2308109,2308110,1.0,0.0,@AmazonHelp but I paid extra for one day delivery!
62,493491,493493,1.0,0.0,@AmazonHelp I pay for your prime service and I was supposed to receive a makeup vanity today. My boyfriend even took the day off work to make sure he was home for the delivery and it was not delivered today.
62,1443123,1443124,1.0,0.0,"@AmazonHelp Oh I plan to, especially since I paid the extra shipping for the package arrival."
62,1398055,1398053,1.0,0.0,"@AmazonHelp I can understand that, the point of the matter is i pay for a service where I get next day delivery, and if I don't get it today then what am I even paying for"
62,2756027,2756028,1.0,0.0,"@AmazonHelp I paid $5.99 to have same day , it said it was delivered yet nothing is here."
62,1459765,1459768,1.0,0.0,@AmazonHelp Losing faith on ever getting this delivery. It's not like you've got over £500 of my money or anything though. Oh wait...
62,1776901,1776903,1.0,0.0,@AmazonHelp I paid for it to be delivered today
