cluster_id,customer_message_id,conversation_id,probability,outlier_score,text
176,2192491,2192493,1.0,0.0,@AmazonHelp Gracias! Ya lo hice esta tarde. Por eso se que es a raíz de la huelga de Cataluña y que tal vez mañana tampoco poco llegue. Que sería el lunes. 4 días después de lo concertado...
176,133742,133762,1.0,0.0,"@AmazonHelp Alles Klar, wenn Ihr es bis 20:00 Uhr heute nicht schafft, dann wäre auch von 06:00 Uhr bis 07:00 Uhr morgen in Ordnung. Danke euch."
176,2736293,2736294,1.0,0.0,@AmazonHelp Yes now it's coming tomorrow I'm not impressed.
176,1633265,1633266,1.0,0.0,@AmazonHelp I mean if you can get it hear today that would be quite lovely 😂 But maybe it will be here tomorrow or Tuesday.
176,2790590,2790592,0.9928620501038604,0.007137949896139633,@AmazonHelp Saying it's now expected tomorrow. Which is incredibly helpful as I'm out all day. Very disappointed.
176,2321150,2321143,1.0,0.0,@AmazonHelp Ok pero no tendrán el día exacto que llegue?
176,1710802,1710803,0.9677193903685329,0.03228060963146706,@AmazonHelp Yep. It’s sometime in the next few days. Helpful when I need it tomorrow morning
176,448675,448677,1.0,0.0,@AmazonHelp La poste. J'espère que ça arrivera demain ...
