cluster_id,customer_message_id,conversation_id,probability,outlier_score,text
117,1209471,1209467,1.0,0.0,@AmazonHelp Still not committing to anything...
117,191770,191780,1.0,0.0,@AmazonHelp Still nothing
117,2540382,2540383,1.0,0.0,@AmazonHelp none as of now...thnx !
117,2532222,2532217,1.0,0.0,@AmazonHelp Still no sign
117,1665804,1665797,1.0,0.0,@AmazonHelp Still nothing yet.
117,816978,816979,1.0,0.0,@AmazonHelp still nothing... can you help please
117,2866037,2866035,1.0,0.0,@AmazonHelp still nothing... :(
117,182609,182612,1.0,0.0,@AmazonHelp Nope. Still high and dry.
