label,cluster_id,size,share
-1,-1,49621,0.5325798800055811
0,0,35,0.00037565336853742046
1,1,79,0.0008479033175558919
2,2,49,0.0005259147159523886
3,3,33,0.00035418746176385356
4,4,82,0.0008801021777162422
5,5,67,0.0007191078769144905
6,6,34,0.000364920415150637
7,7,12267,0.13166113919567246
8,8,126,0.0013523521267347137
9,9,35,0.00037565336853742046
10,10,82,0.0008801021777162422
11,11,59,0.000633244249820223
12,12,157,0.0016850736817250003
13,13,59,0.000633244249820223
14,14,481,0.0051625505790428355
15,15,76,0.0008157044573955416
16,16,43,0.00046151699563168797
17,17,36,0.0003863863219242039
18,18,84,0.0009015680844898091
19,19,63,0.0006761760633673568
20,20,32,0.00034345450837707013
21,21,56,0.0006010453896598728
22,22,122,0.0013094203131875798
23,23,92,0.0009874317115840766
24,24,44,0.0004722499490184714
25,25,83,0.0008908351311030257
26,26,273,0.0029300962745918793
27,27,38,0.0004078522286977708
28,28,37,0.0003971192753109873
29,29,552,0.00592459026950446
30,30,205,0.0022002554442906055
31,31,49,0.0005259147159523886
32,32,54,0.0005795794828863058
33,33,126,0.0013523521267347137
34,34,43,0.00046151699563168797
35,35,69,0.0007405737836880575
36,36,59,0.000633244249820223
37,37,69,0.0007405737836880575
38,38,50,0.0005366476693391721
39,39,70,0.0007513067370748409
40,40,287,0.0030803576220068477
41,41,79,0.0008479033175558919
42,42,648,0.00695495379463567
43,43,61,0.0006547101565937899
44,44,80,0.0008586362709426753
45,45,31,0.00033272155499028665
46,46,50,0.0005366476693391721
47,47,63,0.0006761760633673568
48,48,33,0.00035418746176385356
49,49,32,0.00034345450837707013
50,50,378,0.004057056380204141
51,51,72,0.0007727726438484078
52,52,47,0.0005044488091788217
53,53,36,0.0003863863219242039
54,54,48,0.0005151817625656051
55,55,137,0.0014704146139893313
56,56,32,0.00034345450837707013
57,57,78,0.0008371703641691084
58,58,325,0.0034882098507046182
59,59,1097,0.011774049865301435
60,60,126,0.0013523521267347137
61,61,35,0.00037565336853742046
62,62,39,0.0004185851820845542
63,63,122,0.0013094203131875798
64,64,139,0.0014918805207628984
65,65,62,0.0006654431099805733
66,66,73,0.0007835055972351912
67,67,110,0.0011806248725461784
68,68,140,0.0015026134741496818
69,69,137,0.0014704146139893313
70,70,394,0.004228783634392676
71,71,171,0.0018353350291399684
72,72,80,0.0008586362709426753
73,73,44,0.0004722499490184714
74,74,47,0.0005044488091788217
75,75,132,0.0014167498470554142
76,76,33,0.00035418746176385356
77,77,49,0.0005259147159523886
78,78,122,0.0013094203131875798
79,79,31,0.00033272155499028665
80,80,36,0.0003863863219242039
81,81,34,0.000364920415150637
82,82,46,0.0004937158557920383
83,83,89,0.0009552328514237263
84,84,40,0.00042931813547133764
85,85,175,0.0018782668426871021
86,86,33,0.00035418746176385356
87,87,34,0.000364920415150637
88,88,32,0.00034345450837707013
89,89,319,0.0034238121303839177
90,90,34,0.000364920415150637
91,91,55,0.0005903124362730892
92,92,101,0.0010840282920651276
93,93,32,0.00034345450837707013
94,94,130,0.0013952839402818474
95,95,32,0.00034345450837707013
96,96,46,0.0004937158557920383
97,97,42,0.00045078404224490454
98,98,37,0.0003971192753109873
99,99,41,0.0004400510888581211
100,100,66,0.0007083749235277071
101,101,213,0.002286119071384873
102,102,542,0.005817260735636625
103,103,229,0.002457846325573408
104,104,64,0.0006869090167541403
105,105,164,0.0017602043554324845
106,106,58,0.0006225112964334396
107,107,193,0.002071460003649204
108,108,107,0.0011484260123858282
