cluster_id,customer_message_id,conversation_id,probability,outlier_score,text
129,269493,269495,1.0,0.0,@AmazonHelp I emailed last night and chatted with a representative last night and I still haven’t received an answer!!!!!
129,2615141,2615143,1.0,0.0,@AmazonHelp I have already done that and it was useless conversation with your representative
129,798801,798804,1.0,0.0,@AmazonHelp Your representative didnt have any answer
129,789043,789039,1.0,0.0,@AmazonHelp i had already have chat with your representative ... It doesn't work
129,440997,440994,1.0,0.0,"@AmazonHelp I was told that your representative will call me and resolve the issues, nothing has happened as of now. #irresponsible"
129,735334,735332,1.0,0.0,@AmazonHelp Spoke to the representative on chat. I have communicated my issue. Thanks for quick response.
129,1415558,1415559,1.0,0.0,"@AmazonHelp Yes, I'm talking to a representative again but I'm still super disappointed.. The call I made last night with you guys was useless"
129,1467676,1467677,1.0,0.0,@AmazonHelp Do you have a better method I can reach out by? The representatives through that area never seem to help me.
