experiment,umap_dim,min_cluster_size,min_samples,n_clusters,n_noise,noise_pct,largest,median_size,umap_s,hdbscan_s
exp_8d_30_10,8,30,10,2,0,0.0,12199,6133.5,32.3,0.8
exp_8d_20_5,8,20,5,2,0,0.0,12199,6133.5,32.3,0.7
exp_8d_50_20,8,50,20,2,0,0.0,12199,6133.5,32.3,0.9
exp_15d_30_10,15,30,10,2,1,0.01,12198,6133.0,15.6,1.2
exp_15d_20_5,15,20,5,2,0,0.0,12199,6133.5,15.6,1.1
exp_15d_50_20,15,50,20,2,1,0.01,12198,6133.0,15.6,1.2
exp_20d_30_10,20,30,10,2,0,0.0,12199,6133.5,15.8,1.4
exp_20d_20_5,20,20,5,2,0,0.0,12199,6133.5,15.8,1.2
exp_20d_50_20,20,50,20,2,9,0.07,12190,6129.0,15.8,1.4
